Company,Location,Job_Title,Experience_Level,Skills_Required,CTC(LPA),Hiring_Type,Source,Post_Date,Apply_Link
Tcs,Pune,Cloud Engineer,0-2 Yrs,"AI/ML, Deep Learning",20.0,Internship,Glassdoor,2025-09-18,https://www.example.com/apply/tcs/Cloud-Engineer
Cognizant,Pune,Software Engineer,5-10 Yrs,"Linux, Networking, Troubleshooting",10.4,Contract,Indeed,2025-10-09,https://www.example.com/apply/cognizant/Software-Engineer
Accenture,Ahmedabad,System Analyst,5-10 Yrs,"Python, SQL, Power BI",18.2,Internship,Indeed,2025-09-25,https://www.example.com/apply/accenture/System-Analyst
Hcl,Ahmedabad,Cloud Engineer,5-10 Yrs,"AWS, Azure, DevOps",12.2,Full-Time,Naukri,2025-10-20,https://www.example.com/apply/hcl/Cloud-Engineer
Infosys,Kolkata,Process Associate,0-2 Yrs,"JavaScript, React, Node.js",19.0,Internship,Glassdoor,2025-09-18,https://www.example.com/apply/infosys/Process-Associate
Tcs,Jaipur,Software Engineer,2-5 Yrs,"Python, SQL, Power BI",6.1,Full-Time,Indeed,2025-09-23,https://www.example.com/apply/tcs/Software-Engineer
Infosys,Mumbai,Business Analyst,0-2 Yrs,"Python, SQL, Power BI",4.1,Full-Time,Linkedin,2025-10-08,https://www.example.com/apply/infosys/Business-Analyst
Accenture,Kolkata,Support Executive,5-10 Yrs,"JavaScript, React, Node.js",11.0,Full-Time,Glassdoor,2025-09-13,https://www.example.com/apply/accenture/Support-Executive
Tcs,Jaipur,Test Engineer,2-5 Yrs,"JavaScript, React, Node.js",15.3,Contract,Glassdoor,2025-09-12,https://www.example.com/apply/tcs/Test-Engineer
Cognizant,Chennai,Business Analyst,2-5 Yrs,Automation Testing,4.4,Full-Time,Linkedin,2025-09-18,https://www.example.com/apply/cognizant/Business-Analyst
Tcs,Hyderabad,Software Engineer,2-5 Yrs,"Linux, Networking, Troubleshooting",10.6,Contract,Linkedin,2025-10-08,https://www.example.com/apply/tcs/Software-Engineer
Wipro,Gurugram,Business Analyst,Fresher,"Java, Spring Boot",6.8,Contract,Indeed,2025-09-14,https://www.example.com/apply/wipro/Business-Analyst
Infosys,Gurugram,System Analyst,2-5 Yrs,"Java, Spring Boot",11.3,Full-Time,Naukri,2025-09-26,https://www.example.com/apply/infosys/System-Analyst
Infosys,Noida,Test Engineer,5-10 Yrs,Automation Testing,7.9,Internship,Naukri,2025-09-27,https://www.example.com/apply/infosys/Test-Engineer
Accenture,Kolkata,Test Engineer,5-10 Yrs,"AWS, Azure, DevOps",19.3,Full-Time,Linkedin,2025-09-12,https://www.example.com/apply/accenture/Test-Engineer
Capgemini,Bengaluru,System Analyst,2-5 Yrs,"AI/ML, Deep Learning",13.3,Internship,Indeed,2025-10-15,https://www.example.com/apply/capgemini/System-Analyst
Capgemini,Gurugram,Process Associate,0-2 Yrs,"ETL, Data Warehousing",10.2,Contract,Naukri,2025-09-29,https://www.example.com/apply/capgemini/Process-Associate
Infosys,Noida,Process Associate,5-10 Yrs,"Excel, Tableau, SQL",11.7,Contract,Naukri,2025-10-11,https://www.example.com/apply/infosys/Process-Associate
Infosys,Chennai,Devops Engineer,0-2 Yrs,"Java, Spring Boot",2.7,Full-Time,Indeed,2025-09-16,https://www.example.com/apply/infosys/DevOps-Engineer
Wipro,Mumbai,System Analyst,2-5 Yrs,"Customer Support, Voice Process",12.2,Internship,Indeed,2025-09-05,https://www.example.com/apply/wipro/System-Analyst
Hcl,Hyderabad,Technical Support,Fresher,"ETL, Data Warehousing",12.5,Contract,Naukri,2025-09-12,https://www.example.com/apply/hcl/Technical-Support
Tech Mahindra,Chennai,Process Associate,2-5 Yrs,"Excel, Tableau, SQL",15.1,Contract,Glassdoor,2025-10-07,https://www.example.com/apply/tech mahindra/Process-Associate
Infosys,Gurugram,Cloud Engineer,2-5 Yrs,"Linux, Networking, Troubleshooting",9.5,Contract,Glassdoor,2025-10-08,https://www.example.com/apply/infosys/Cloud-Engineer
Tcs,Bengaluru,Process Associate,Fresher,"Java, Spring Boot",9.1,Full-Time,Indeed,2025-10-08,https://www.example.com/apply/tcs/Process-Associate
Tcs,Pune,Business Analyst,Fresher,"Python, SQL, Power BI",17.9,Internship,Indeed,2025-09-09,https://www.example.com/apply/tcs/Business-Analyst
Infosys,Mumbai,Technical Support,2-5 Yrs,"AI/ML, Deep Learning",4.5,Full-Time,Indeed,2025-09-25,https://www.example.com/apply/infosys/Technical-Support
Cognizant,Pune,Business Analyst,5-10 Yrs,Automation Testing,9.8,Contract,Linkedin,2025-10-21,https://www.example.com/apply/cognizant/Business-Analyst
Capgemini,Hyderabad,Cloud Engineer,Fresher,"AI/ML, Deep Learning",5.3,Internship,Naukri,2025-10-03,https://www.example.com/apply/capgemini/Cloud-Engineer
Infosys,Bengaluru,Support Executive,2-5 Yrs,"Java, Spring Boot",11.0,Full-Time,Glassdoor,2025-09-24,https://www.example.com/apply/infosys/Support-Executive
Tcs,Gurugram,Support Executive,5-10 Yrs,"Linux, Networking, Troubleshooting",19.6,Internship,Indeed,2025-09-20,https://www.example.com/apply/tcs/Support-Executive
Wipro,Noida,Business Analyst,0-2 Yrs,"Excel, Tableau, SQL",12.0,Contract,Naukri,2025-10-13,https://www.example.com/apply/wipro/Business-Analyst
Accenture,Hyderabad,Technical Support,0-2 Yrs,"Excel, Tableau, SQL",13.8,Internship,Naukri,2025-09-02,https://www.example.com/apply/accenture/Technical-Support
Tech Mahindra,Bengaluru,Devops Engineer,5-10 Yrs,"JavaScript, React, Node.js",10.4,Internship,Indeed,2025-09-23,https://www.example.com/apply/tech mahindra/DevOps-Engineer
Tcs,Mumbai,Data Analyst,Fresher,"JavaScript, React, Node.js",9.8,Contract,Indeed,2025-09-15,https://www.example.com/apply/tcs/Data-Analyst
Tcs,Pune,Cloud Engineer,2-5 Yrs,"AI/ML, Deep Learning",17.4,Internship,Naukri,2025-09-24,https://www.example.com/apply/tcs/Cloud-Engineer
Hcl,Jaipur,Test Engineer,0-2 Yrs,"AWS, Azure, DevOps",17.9,Full-Time,Naukri,2025-09-24,https://www.example.com/apply/hcl/Test-Engineer
Tcs,Hyderabad,Data Analyst,Fresher,"Java, Spring Boot",6.3,Internship,Naukri,2025-09-08,https://www.example.com/apply/tcs/Data-Analyst
Tcs,Hyderabad,Technical Support,Fresher,Automation Testing,15.9,Full-Time,Glassdoor,2025-10-16,https://www.example.com/apply/tcs/Technical-Support
Infosys,Hyderabad,Devops Engineer,Fresher,"Excel, Tableau, SQL",18.0,Internship,Glassdoor,2025-09-20,https://www.example.com/apply/infosys/DevOps-Engineer
Infosys,Kolkata,Process Associate,0-2 Yrs,"Linux, Networking, Troubleshooting",12.5,Internship,Linkedin,2025-10-07,https://www.example.com/apply/infosys/Process-Associate
Tcs,Chennai,Devops Engineer,5-10 Yrs,"AI/ML, Deep Learning",3.7,Contract,Linkedin,2025-10-15,https://www.example.com/apply/tcs/DevOps-Engineer
Accenture,Kolkata,Cloud Engineer,5-10 Yrs,"Linux, Networking, Troubleshooting",16.4,Contract,Linkedin,2025-10-09,https://www.example.com/apply/accenture/Cloud-Engineer
Hcl,Ahmedabad,Business Analyst,2-5 Yrs,"Python, SQL, Power BI",15.1,Contract,Linkedin,2025-09-04,https://www.example.com/apply/hcl/Business-Analyst
Infosys,Gurugram,Technical Support,Fresher,"ETL, Data Warehousing",18.7,Contract,Glassdoor,2025-09-11,https://www.example.com/apply/infosys/Technical-Support
Tech Mahindra,Mumbai,Data Analyst,5-10 Yrs,"Linux, Networking, Troubleshooting",8.5,Full-Time,Linkedin,2025-09-22,https://www.example.com/apply/tech mahindra/Data-Analyst
Ibm,Chennai,Devops Engineer,2-5 Yrs,"Python, SQL, Power BI",16.5,Full-Time,Indeed,2025-09-14,https://www.example.com/apply/ibm/DevOps-Engineer
Cognizant,Pune,System Analyst,0-2 Yrs,"AWS, Azure, DevOps",7.8,Contract,Naukri,2025-10-02,https://www.example.com/apply/cognizant/System-Analyst
Cognizant,Hyderabad,Business Analyst,Fresher,Automation Testing,4.7,Contract,Glassdoor,2025-09-19,https://www.example.com/apply/cognizant/Business-Analyst
Hcl,Jaipur,Technical Support,0-2 Yrs,"AWS, Azure, DevOps",13.4,Internship,Naukri,2025-09-11,https://www.example.com/apply/hcl/Technical-Support
Tcs,Noida,Technical Support,Fresher,"Python, SQL, Power BI",6.5,Full-Time,Naukri,2025-10-04,https://www.example.com/apply/tcs/Technical-Support
Infosys,Bengaluru,Devops Engineer,2-5 Yrs,"Customer Support, Voice Process",9.8,Contract,Naukri,2025-10-18,https://www.example.com/apply/infosys/DevOps-Engineer
Capgemini,Gurugram,Software Engineer,5-10 Yrs,"ETL, Data Warehousing",15.5,Contract,Naukri,2025-10-03,https://www.example.com/apply/capgemini/Software-Engineer
Tech Mahindra,Mumbai,Process Associate,5-10 Yrs,"AWS, Azure, DevOps",6.8,Contract,Naukri,2025-09-09,https://www.example.com/apply/tech mahindra/Process-Associate
Accenture,Noida,Devops Engineer,2-5 Yrs,Automation Testing,11.1,Internship,Linkedin,2025-09-16,https://www.example.com/apply/accenture/DevOps-Engineer
Tcs,Mumbai,Support Executive,Fresher,"Excel, Tableau, SQL",13.1,Contract,Naukri,2025-10-08,https://www.example.com/apply/tcs/Support-Executive
Cognizant,Bengaluru,Cloud Engineer,2-5 Yrs,"AWS, Azure, DevOps",3.2,Internship,Glassdoor,2025-10-01,https://www.example.com/apply/cognizant/Cloud-Engineer
Infosys,Kolkata,Technical Support,2-5 Yrs,"Python, SQL, Power BI",19.1,Full-Time,Naukri,2025-09-27,https://www.example.com/apply/infosys/Technical-Support
Hcl,Gurugram,Technical Support,Fresher,"Customer Support, Voice Process",5.1,Internship,Naukri,2025-09-12,https://www.example.com/apply/hcl/Technical-Support
Infosys,Gurugram,Technical Support,0-2 Yrs,"Java, Spring Boot",18.9,Full-Time,Glassdoor,2025-10-05,https://www.example.com/apply/infosys/Technical-Support
Hcl,Jaipur,Software Engineer,0-2 Yrs,"JavaScript, React, Node.js",17.2,Contract,Glassdoor,2025-09-20,https://www.example.com/apply/hcl/Software-Engineer
Tcs,Gurugram,Data Analyst,0-2 Yrs,"Linux, Networking, Troubleshooting",17.0,Internship,Glassdoor,2025-09-24,https://www.example.com/apply/tcs/Data-Analyst
Tech Mahindra,Ahmedabad,Software Engineer,2-5 Yrs,"Java, Spring Boot",15.3,Internship,Naukri,2025-09-28,https://www.example.com/apply/tech mahindra/Software-Engineer
Tcs,Gurugram,Process Associate,0-2 Yrs,Automation Testing,5.3,Contract,Indeed,2025-10-04,https://www.example.com/apply/tcs/Process-Associate
Capgemini,Jaipur,Devops Engineer,Fresher,"Linux, Networking, Troubleshooting",13.6,Full-Time,Naukri,2025-09-01,https://www.example.com/apply/capgemini/DevOps-Engineer
Tech Mahindra,Kolkata,Business Analyst,5-10 Yrs,"Linux, Networking, Troubleshooting",8.9,Internship,Indeed,2025-09-16,https://www.example.com/apply/tech mahindra/Business-Analyst
Ltimindtree,Ahmedabad,Support Executive,5-10 Yrs,"Linux, Networking, Troubleshooting",17.0,Full-Time,Indeed,2025-09-13,https://www.example.com/apply/ltimindtree/Support-Executive
Accenture,Pune,Cloud Engineer,2-5 Yrs,"Customer Support, Voice Process",11.9,Full-Time,Glassdoor,2025-10-20,https://www.example.com/apply/accenture/Cloud-Engineer
Cognizant,Chennai,Process Associate,2-5 Yrs,"Java, Spring Boot",13.1,Contract,Glassdoor,2025-09-18,https://www.example.com/apply/cognizant/Process-Associate
Tcs,Bengaluru,Business Analyst,0-2 Yrs,"Customer Support, Voice Process",9.2,Internship,Naukri,2025-10-17,https://www.example.com/apply/tcs/Business-Analyst
Wipro,Chennai,Test Engineer,2-5 Yrs,"Linux, Networking, Troubleshooting",7.8,Contract,Naukri,2025-09-03,https://www.example.com/apply/wipro/Test-Engineer
Tcs,Ahmedabad,Data Analyst,0-2 Yrs,"Excel, Tableau, SQL",9.9,Full-Time,Glassdoor,2025-10-07,https://www.example.com/apply/tcs/Data-Analyst
Tcs,Bengaluru,Business Analyst,0-2 Yrs,"ETL, Data Warehousing",7.4,Internship,Indeed,2025-09-19,https://www.example.com/apply/tcs/Business-Analyst
Wipro,Hyderabad,System Analyst,5-10 Yrs,"AWS, Azure, DevOps",19.2,Internship,Glassdoor,2025-09-26,https://www.example.com/apply/wipro/System-Analyst
Tcs,Gurugram,Devops Engineer,0-2 Yrs,"AWS, Azure, DevOps",7.4,Contract,Indeed,2025-10-17,https://www.example.com/apply/tcs/DevOps-Engineer
Tcs,Kolkata,System Analyst,Fresher,"AWS, Azure, DevOps",18.4,Contract,Naukri,2025-10-07,https://www.example.com/apply/tcs/System-Analyst
Accenture,Pune,Devops Engineer,0-2 Yrs,"Linux, Networking, Troubleshooting",15.9,Full-Time,Naukri,2025-09-07,https://www.example.com/apply/accenture/DevOps-Engineer
Wipro,Noida,Business Analyst,0-2 Yrs,"Customer Support, Voice Process",12.8,Internship,Naukri,2025-09-16,https://www.example.com/apply/wipro/Business-Analyst
Infosys,Hyderabad,Devops Engineer,Fresher,"Excel, Tableau, SQL",10.3,Full-Time,Glassdoor,2025-09-08,https://www.example.com/apply/infosys/DevOps-Engineer
Tech Mahindra,Gurugram,Devops Engineer,Fresher,"AI/ML, Deep Learning",12.4,Internship,Linkedin,2025-09-12,https://www.example.com/apply/tech mahindra/DevOps-Engineer
Infosys,Noida,Business Analyst,Fresher,"Excel, Tableau, SQL",16.3,Full-Time,Indeed,2025-10-07,https://www.example.com/apply/infosys/Business-Analyst
Tcs,Noida,Devops Engineer,Fresher,"AWS, Azure, DevOps",10.8,Full-Time,Linkedin,2025-09-23,https://www.example.com/apply/tcs/DevOps-Engineer
Cognizant,Noida,Process Associate,0-2 Yrs,"Python, SQL, Power BI",15.9,Full-Time,Indeed,2025-09-08,https://www.example.com/apply/cognizant/Process-Associate
Tcs,Mumbai,Process Associate,Fresher,"Java, Spring Boot",8.9,Full-Time,Linkedin,2025-09-27,https://www.example.com/apply/tcs/Process-Associate
Tcs,Mumbai,Business Analyst,2-5 Yrs,"JavaScript, React, Node.js",9.0,Full-Time,Glassdoor,2025-10-09,https://www.example.com/apply/tcs/Business-Analyst
Capgemini,Gurugram,Cloud Engineer,2-5 Yrs,"Java, Spring Boot",11.9,Internship,Indeed,2025-10-16,https://www.example.com/apply/capgemini/Cloud-Engineer
Tcs,Chennai,Process Associate,0-2 Yrs,"AWS, Azure, DevOps",18.0,Contract,Linkedin,2025-10-07,https://www.example.com/apply/tcs/Process-Associate
Cognizant,Hyderabad,Test Engineer,2-5 Yrs,"ETL, Data Warehousing",11.7,Full-Time,Naukri,2025-09-11,https://www.example.com/apply/cognizant/Test-Engineer
Tcs,Jaipur,Software Engineer,Fresher,"AI/ML, Deep Learning",12.6,Contract,Naukri,2025-10-04,https://www.example.com/apply/tcs/Software-Engineer
Tcs,Gurugram,Data Analyst,Fresher,"Excel, Tableau, SQL",6.8,Internship,Linkedin,2025-10-06,https://www.example.com/apply/tcs/Data-Analyst
Ltimindtree,Bengaluru,System Analyst,Fresher,"Linux, Networking, Troubleshooting",10.9,Full-Time,Indeed,2025-09-30,https://www.example.com/apply/ltimindtree/System-Analyst
Tcs,Ahmedabad,Cloud Engineer,0-2 Yrs,"Python, SQL, Power BI",2.7,Contract,Naukri,2025-09-24,https://www.example.com/apply/tcs/Cloud-Engineer
Infosys,Hyderabad,Support Executive,5-10 Yrs,"Excel, Tableau, SQL",10.1,Internship,Indeed,2025-09-01,https://www.example.com/apply/infosys/Support-Executive
Tcs,Ahmedabad,Data Analyst,5-10 Yrs,"AI/ML, Deep Learning",7.7,Contract,Naukri,2025-09-12,https://www.example.com/apply/tcs/Data-Analyst
Tech Mahindra,Ahmedabad,Devops Engineer,0-2 Yrs,"ETL, Data Warehousing",3.0,Contract,Naukri,2025-10-09,https://www.example.com/apply/tech mahindra/DevOps-Engineer
Tcs,Pune,Process Associate,2-5 Yrs,Automation Testing,11.3,Contract,Indeed,2025-10-21,https://www.example.com/apply/tcs/Process-Associate
Hcl,Gurugram,Business Analyst,2-5 Yrs,"ETL, Data Warehousing",9.6,Full-Time,Glassdoor,2025-10-13,https://www.example.com/apply/hcl/Business-Analyst
Wipro,Ahmedabad,Cloud Engineer,2-5 Yrs,"Linux, Networking, Troubleshooting",5.5,Full-Time,Glassdoor,2025-09-16,https://www.example.com/apply/wipro/Cloud-Engineer
Capgemini,Gurugram,Technical Support,0-2 Yrs,"Excel, Tableau, SQL",18.6,Contract,Indeed,2025-10-19,https://www.example.com/apply/capgemini/Technical-Support
Ibm,Hyderabad,Process Associate,Fresher,"Excel, Tableau, SQL",12.8,Internship,Indeed,2025-09-21,https://www.example.com/apply/ibm/Process-Associate
Ibm,Pune,Data Analyst,Fresher,"Linux, Networking, Troubleshooting",4.1,Internship,Linkedin,2025-10-07,https://www.example.com/apply/ibm/Data-Analyst
Infosys,Ahmedabad,Support Executive,2-5 Yrs,"Customer Support, Voice Process",14.0,Full-Time,Indeed,2025-10-21,https://www.example.com/apply/infosys/Support-Executive
Cognizant,Kolkata,Software Engineer,5-10 Yrs,"AI/ML, Deep Learning",8.6,Full-Time,Glassdoor,2025-10-10,https://www.example.com/apply/cognizant/Software-Engineer
Tech Mahindra,Gurugram,Data Analyst,5-10 Yrs,"AWS, Azure, DevOps",2.7,Internship,Linkedin,2025-10-13,https://www.example.com/apply/tech mahindra/Data-Analyst
Tcs,Chennai,System Analyst,5-10 Yrs,"ETL, Data Warehousing",18.0,Internship,Linkedin,2025-09-08,https://www.example.com/apply/tcs/System-Analyst
Tech Mahindra,Ahmedabad,Devops Engineer,2-5 Yrs,"Customer Support, Voice Process",13.7,Full-Time,Linkedin,2025-09-06,https://www.example.com/apply/tech mahindra/DevOps-Engineer
Tcs,Jaipur,Business Analyst,0-2 Yrs,"JavaScript, React, Node.js",9.2,Contract,Naukri,2025-09-13,https://www.example.com/apply/tcs/Business-Analyst
Tech Mahindra,Chennai,Technical Support,2-5 Yrs,"Customer Support, Voice Process",2.9,Full-Time,Linkedin,2025-09-03,https://www.example.com/apply/tech mahindra/Technical-Support
Tcs,Chennai,System Analyst,Fresher,"AI/ML, Deep Learning",10.4,Full-Time,Glassdoor,2025-09-02,https://www.example.com/apply/tcs/System-Analyst
Capgemini,Ahmedabad,Technical Support,0-2 Yrs,"Python, SQL, Power BI",3.7,Internship,Naukri,2025-10-15,https://www.example.com/apply/capgemini/Technical-Support
Ibm,Gurugram,Technical Support,5-10 Yrs,"Python, SQL, Power BI",16.1,Full-Time,Naukri,2025-09-15,https://www.example.com/apply/ibm/Technical-Support
Accenture,Jaipur,Technical Support,Fresher,"Excel, Tableau, SQL",10.1,Internship,Naukri,2025-10-17,https://www.example.com/apply/accenture/Technical-Support
Tcs,Mumbai,Data Analyst,5-10 Yrs,"AWS, Azure, DevOps",19.5,Internship,Naukri,2025-09-07,https://www.example.com/apply/tcs/Data-Analyst
Ltimindtree,Bengaluru,Devops Engineer,5-10 Yrs,"Python, SQL, Power BI",6.1,Internship,Indeed,2025-10-11,https://www.example.com/apply/ltimindtree/DevOps-Engineer
Wipro,Kolkata,Business Analyst,0-2 Yrs,Automation Testing,19.1,Internship,Linkedin,2025-10-14,https://www.example.com/apply/wipro/Business-Analyst
Cognizant,Noida,Business Analyst,5-10 Yrs,"JavaScript, React, Node.js",4.5,Internship,Indeed,2025-09-24,https://www.example.com/apply/cognizant/Business-Analyst
Infosys,Bengaluru,Data Analyst,0-2 Yrs,"Linux, Networking, Troubleshooting",11.4,Contract,Glassdoor,2025-09-29,https://www.example.com/apply/infosys/Data-Analyst
Infosys,Hyderabad,Technical Support,Fresher,"Python, SQL, Power BI",4.1,Internship,Naukri,2025-10-15,https://www.example.com/apply/infosys/Technical-Support
Tech Mahindra,Kolkata,Business Analyst,Fresher,"Linux, Networking, Troubleshooting",19.8,Full-Time,Glassdoor,2025-09-21,https://www.example.com/apply/tech mahindra/Business-Analyst
Infosys,Gurugram,Devops Engineer,Fresher,"Linux, Networking, Troubleshooting",14.3,Full-Time,Linkedin,2025-10-10,https://www.example.com/apply/infosys/DevOps-Engineer
Infosys,Jaipur,Software Engineer,5-10 Yrs,"AWS, Azure, DevOps",17.1,Full-Time,Naukri,2025-10-06,https://www.example.com/apply/infosys/Software-Engineer
Ltimindtree,Kolkata,Test Engineer,5-10 Yrs,"Linux, Networking, Troubleshooting",10.9,Contract,Glassdoor,2025-09-14,https://www.example.com/apply/ltimindtree/Test-Engineer
Wipro,Chennai,Business Analyst,5-10 Yrs,"Excel, Tableau, SQL",13.1,Contract,Indeed,2025-10-03,https://www.example.com/apply/wipro/Business-Analyst
Tech Mahindra,Jaipur,Technical Support,2-5 Yrs,"AWS, Azure, DevOps",8.3,Internship,Glassdoor,2025-09-07,https://www.example.com/apply/tech mahindra/Technical-Support
Tcs,Pune,Data Analyst,2-5 Yrs,"Excel, Tableau, SQL",5.0,Contract,Naukri,2025-10-16,https://www.example.com/apply/tcs/Data-Analyst
Infosys,Gurugram,Software Engineer,2-5 Yrs,"AI/ML, Deep Learning",11.3,Contract,Linkedin,2025-09-03,https://www.example.com/apply/infosys/Software-Engineer
Hcl,Kolkata,Test Engineer,5-10 Yrs,"Excel, Tableau, SQL",15.7,Internship,Glassdoor,2025-10-08,https://www.example.com/apply/hcl/Test-Engineer
Tcs,Jaipur,Data Analyst,Fresher,"Java, Spring Boot",13.7,Full-Time,Naukri,2025-09-20,https://www.example.com/apply/tcs/Data-Analyst
Infosys,Gurugram,Software Engineer,2-5 Yrs,"Linux, Networking, Troubleshooting",19.2,Internship,Indeed,2025-09-23,https://www.example.com/apply/infosys/Software-Engineer
Infosys,Jaipur,Support Executive,0-2 Yrs,"Customer Support, Voice Process",8.2,Contract,Linkedin,2025-09-09,https://www.example.com/apply/infosys/Support-Executive
Tcs,Mumbai,System Analyst,Fresher,"Python, SQL, Power BI",15.2,Contract,Linkedin,2025-09-30,https://www.example.com/apply/tcs/System-Analyst
Hcl,Jaipur,Business Analyst,0-2 Yrs,Automation Testing,10.8,Contract,Indeed,2025-09-07,https://www.example.com/apply/hcl/Business-Analyst
Cognizant,Kolkata,Business Analyst,2-5 Yrs,"ETL, Data Warehousing",10.1,Contract,Linkedin,2025-09-05,https://www.example.com/apply/cognizant/Business-Analyst
Capgemini,Ahmedabad,Test Engineer,5-10 Yrs,"AWS, Azure, DevOps",4.2,Full-Time,Glassdoor,2025-09-25,https://www.example.com/apply/capgemini/Test-Engineer
Tcs,Mumbai,Technical Support,5-10 Yrs,"Linux, Networking, Troubleshooting",10.8,Contract,Linkedin,2025-09-20,https://www.example.com/apply/tcs/Technical-Support
Capgemini,Pune,Process Associate,0-2 Yrs,Automation Testing,18.7,Internship,Naukri,2025-10-09,https://www.example.com/apply/capgemini/Process-Associate
Accenture,Hyderabad,Data Analyst,5-10 Yrs,"AWS, Azure, DevOps",8.4,Full-Time,Naukri,2025-09-25,https://www.example.com/apply/accenture/Data-Analyst
Accenture,Noida,Cloud Engineer,Fresher,"Java, Spring Boot",18.9,Full-Time,Naukri,2025-09-03,https://www.example.com/apply/accenture/Cloud-Engineer
Wipro,Hyderabad,Technical Support,0-2 Yrs,"AI/ML, Deep Learning",3.3,Full-Time,Naukri,2025-09-20,https://www.example.com/apply/wipro/Technical-Support
Tcs,Hyderabad,Business Analyst,Fresher,"Excel, Tableau, SQL",17.1,Internship,Linkedin,2025-09-26,https://www.example.com/apply/tcs/Business-Analyst
Hcl,Mumbai,System Analyst,5-10 Yrs,"AWS, Azure, DevOps",17.1,Contract,Glassdoor,2025-10-10,https://www.example.com/apply/hcl/System-Analyst
Hcl,Noida,Software Engineer,2-5 Yrs,"ETL, Data Warehousing",9.4,Contract,Indeed,2025-10-18,https://www.example.com/apply/hcl/Software-Engineer
Tech Mahindra,Kolkata,Test Engineer,0-2 Yrs,"Python, SQL, Power BI",4.2,Full-Time,Naukri,2025-10-13,https://www.example.com/apply/tech mahindra/Test-Engineer
Tcs,Pune,Cloud Engineer,2-5 Yrs,"ETL, Data Warehousing",7.4,Internship,Glassdoor,2025-10-12,https://www.example.com/apply/tcs/Cloud-Engineer
Infosys,Hyderabad,Software Engineer,0-2 Yrs,Automation Testing,4.2,Contract,Indeed,2025-09-29,https://www.example.com/apply/infosys/Software-Engineer
Wipro,Bengaluru,Support Executive,5-10 Yrs,"Linux, Networking, Troubleshooting",6.2,Contract,Indeed,2025-09-30,https://www.example.com/apply/wipro/Support-Executive
Cognizant,Ahmedabad,Data Analyst,0-2 Yrs,"AWS, Azure, DevOps",5.2,Full-Time,Glassdoor,2025-09-18,https://www.example.com/apply/cognizant/Data-Analyst
Infosys,Pune,Cloud Engineer,Fresher,"Excel, Tableau, SQL",19.8,Full-Time,Glassdoor,2025-09-09,https://www.example.com/apply/infosys/Cloud-Engineer
Ltimindtree,Pune,System Analyst,0-2 Yrs,"Python, SQL, Power BI",18.1,Internship,Glassdoor,2025-09-30,https://www.example.com/apply/ltimindtree/System-Analyst
Hcl,Hyderabad,Software Engineer,2-5 Yrs,"JavaScript, React, Node.js",9.9,Contract,Linkedin,2025-09-16,https://www.example.com/apply/hcl/Software-Engineer
Tcs,Kolkata,Business Analyst,0-2 Yrs,"JavaScript, React, Node.js",4.8,Full-Time,Naukri,2025-09-17,https://www.example.com/apply/tcs/Business-Analyst
Wipro,Ahmedabad,Software Engineer,2-5 Yrs,"Customer Support, Voice Process",9.6,Contract,Glassdoor,2025-10-11,https://www.example.com/apply/wipro/Software-Engineer
Tcs,Jaipur,Business Analyst,5-10 Yrs,"ETL, Data Warehousing",5.4,Contract,Glassdoor,2025-10-19,https://www.example.com/apply/tcs/Business-Analyst
Ibm,Pune,Technical Support,Fresher,"Python, SQL, Power BI",4.2,Contract,Naukri,2025-09-06,https://www.example.com/apply/ibm/Technical-Support
Tcs,Mumbai,Technical Support,Fresher,"Java, Spring Boot",4.3,Full-Time,Indeed,2025-09-02,https://www.example.com/apply/tcs/Technical-Support
Capgemini,Hyderabad,Devops Engineer,0-2 Yrs,"Python, SQL, Power BI",2.8,Full-Time,Naukri,2025-10-11,https://www.example.com/apply/capgemini/DevOps-Engineer
Tcs,Bengaluru,Business Analyst,0-2 Yrs,"Customer Support, Voice Process",7.8,Internship,Naukri,2025-10-15,https://www.example.com/apply/tcs/Business-Analyst
Hcl,Chennai,Data Analyst,0-2 Yrs,"AI/ML, Deep Learning",17.0,Full-Time,Naukri,2025-10-13,https://www.example.com/apply/hcl/Data-Analyst
Cognizant,Mumbai,Technical Support,5-10 Yrs,"Python, SQL, Power BI",3.0,Full-Time,Linkedin,2025-09-27,https://www.example.com/apply/cognizant/Technical-Support
Accenture,Pune,System Analyst,5-10 Yrs,"AI/ML, Deep Learning",9.9,Contract,Glassdoor,2025-09-16,https://www.example.com/apply/accenture/System-Analyst
Tech Mahindra,Pune,Technical Support,5-10 Yrs,"AWS, Azure, DevOps",15.8,Contract,Indeed,2025-10-10,https://www.example.com/apply/tech mahindra/Technical-Support
Tech Mahindra,Hyderabad,Test Engineer,2-5 Yrs,"Python, SQL, Power BI",4.5,Internship,Glassdoor,2025-09-12,https://www.example.com/apply/tech mahindra/Test-Engineer
Cognizant,Gurugram,Data Analyst,2-5 Yrs,"Python, SQL, Power BI",18.9,Internship,Glassdoor,2025-09-19,https://www.example.com/apply/cognizant/Data-Analyst
Infosys,Jaipur,Test Engineer,2-5 Yrs,Automation Testing,4.9,Internship,Glassdoor,2025-09-07,https://www.example.com/apply/infosys/Test-Engineer
Ibm,Jaipur,Technical Support,0-2 Yrs,"AI/ML, Deep Learning",15.5,Full-Time,Indeed,2025-09-12,https://www.example.com/apply/ibm/Technical-Support
